pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,10,1,41,1,,,,,105.31212479993701,,105.28706599993166,105.31212479993701,106.31208689999767,106.31208689999767,106.31208689999767,106.31208689999767,106.34600719995797,107.3122105000075,107.3122105000075,108.9490836999612,v,1,1.6213404000736773,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,10,2,42,2,,,,,108.9784917999059,,108.95313699997496,108.9784917999059,109.99459139991086,109.99459139991086,109.99459139991086,109.99459139991086,110.0132811999647,110.97830019996036,110.97830019996036,111.41522399999667,c,1,0.4047828000038862,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,10,3,43,3,,,,,111.44531499990262,,111.41877969994675,111.44531499990262,112.44534679991193,112.44534679991193,112.44534679991193,112.44534679991193,112.47828609996941,113.44501969998237,113.44501969998237,113.78271810000297,z,1,0.33221440005581826,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,11,0,44,0,,,,,113.81252239993773,,113.7865707000019,113.81252239993773,114.80965589999687,114.80965589999687,114.80965589999687,114.80965589999687,114.83041269995738,115.81097829993814,115.81097829993814,116.53242179995868,x,1,0.6717142999405041,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,11,1,45,1,,,,,116.56213539990131,,116.53782719990704,116.56213539990131,117.54465799999889,117.54465799999889,117.54465799999889,117.54465799999889,117.56108719995245,118.56083539989777,118.56083539989777,118.99725029990077,v,1,0.4025564999319613,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,11,2,46,2,,,,,119.0129468999803,,119.00076869991608,119.0129468999803,120.02717289992142,120.02717289992142,120.02717289992142,120.02717289992142,120.02717289992142,121.02816839993466,121.02816839993466,121.36348439997528,c,1,0.31538539996836334,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,11,3,47,3,,,,,121.3983859999571,,121.36727329995483,121.3983859999571,122.39412179996725,122.39412179996725,122.39412179996725,122.39412179996725,122.42665829998441,123.39387239993084,123.39387239993084,123.91371599992272,z,1,0.4957797999959439,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,12,0,48,0,,,,,123.94351239991374,,123.91778119991068,123.94351239991374,124.94297989993356,124.94297989993356,124.94297989993356,124.94297989993356,124.97629279992543,125.94344569998793,125.94344569998793,126.49697179999202,x,1,0.5458861000370234,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,12,1,49,1,,,,,126.5269871999044,,126.50195029994939,126.5269871999044,127.52658329997212,127.52658329997212,127.52658329997212,127.52658329997212,127.56001469993498,128.52635389997158,128.52635389997158,129.2292878999142,v,1,0.6948406000155956,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,12,2,50,2,,,,,129.25920249999035,,129.2335405999329,129.25920249999035,130.259365899954,130.259365899954,130.259365899954,130.259365899954,130.29274299996905,131.25919039989822,131.25919039989822,131.9290469000116,c,1,0.6543343999655917,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
