trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
35,0,35,0,66.03777950000949,,65.94358040002408,5,66.03777950000949,66.03777950000949,0.06813359999796376,68.25940859998809,[-0.275],[-0.2916666666666667],[1],[0],[0],[2.251793399977032],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
36,0,36,0,68.35348519997206,,68.27523430000292,5,68.35348519997206,68.35348519997206,0.06413830001838505,69.67487719998462,[-0.015],[-0.27166666666666667],[1],[0],[0],[1.3389544999809004],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
37,0,37,0,69.80321679997724,,69.69067909999285,10,69.80321679997724,69.80321679997724,0.09468849998665974,73.75759250001283,[-0.15833333333333333],[0.4583333333333333],[1],[0],[0],[3.9758332000346854],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
38,0,38,0,73.98801799997455,,73.77418180002132,10,73.98801799997455,73.98801799997455,0.14366620004875585,76.12140449997969,[-0.37166666666666665],[-0.24166666666666667],[1],[0],[0],[2.206885100051295],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
39,0,39,0,76.2352688999963,,76.12892270000884,10,76.2352688999963,76.2352688999963,0.08009699999820441,78.4079968999722,[-0.041666666666666664],[-0.41833333333333333],[1],[0],[0],[2.1996027000132017],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
40,0,40,0,78.56942249997519,,78.43135219998658,10,78.56942249997519,78.56942249997519,0.106028999958653,80.15609170001699,[0.37833333333333335],[-0.075],[1],[0],[0],[1.6219156999723054],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
41,0,41,0,80.26873820001492,,80.16479190002428,10,80.26873820001492,80.26873820001492,0.0704126000055112,83.42072549997829,[-0.10833333333333334],[-0.26166666666666666],[1],[0],[0],[3.1865860000252724],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
42,0,42,0,83.53553519997513,,83.42835140001262,10,83.53553519997513,83.53553519997513,0.07269760000053793,86.05460229999153,[-0.40166666666666667],[-0.11],[1],[0],[0],[2.554379000037443],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
43,0,43,0,86.16810700000497,,86.07341830001678,10,86.16810700000497,86.16810700000497,0.06683190003968775,88.62344629998552,[0.2783333333333333],[0.3383333333333333],[1],[0],[0],[2.486250200017821],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
44,0,44,0,88.76765039999736,,88.64296169998124,10,88.76765039999736,88.76765039999736,0.09424219996435568,90.38867179997033,[-0.28],[0.3566666666666667],[1],[0],[0],[1.6535127999959514],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
